"구분별","분류별","제외별","항목","단위","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"고졸이하","응답자","음성통화/문자 제외","30분-1시간 미만","%","24.7","","","","","","","","","","",
"고졸이하","응답자","음성통화/문자 제외","1-2시간 미만","%","24.3","","","","","","","","","","",
"고졸이하","응답자","음성통화/문자 제외","2시간 이상","%","24.8","","","","","","","","","","",
"고졸이하","응답자","음성통화/문자 제외","평균","분","77.1","","","","","","","","","","",
"대졸이상","전체","음성통화 제외","사례수","명","","","","","2635","2636","","","","","",
"대졸이상","전체","음성통화 제외","1시간 미만","%","","","","","31","30.5","","","","","",
"대졸이상","전체","음성통화 제외","1-2시간 미만","%","","","","","28.7","30.9","","","","","",
"대졸이상","전체","음성통화 제외","2-3시간 미만","%","","","","","21.1","17.4","","","","","",
"대졸이상","전체","음성통화 제외","3-4시간 미만","%","","","","","8.5","9.1","","","","","",
"대졸이상","전체","음성통화 제외","4시간이상","%","","","","","10.7","12.1","","","","","",
"대졸이상","전체","음성통화 제외","평균","분","","","","","102.1","105.1","","","","","",
"대졸이상","응답자","음성통화 제외","사례수","명","","1718","1943","2078","2505","2576","2706","2681","2253","2248","2645",
"대졸이상","응답자","음성통화 제외","30분 미만","%","","9.5","9.6","","","","","","","","",
"대졸이상","응답자","음성통화 제외","1시간 미만","%","","","","28","27.4","28.9","25.6","22.9","20.4","15.4","10.8",
"대졸이상","응답자","음성통화 제외","30분-1시간 미만","%","","21.7","22.5","","","","","","","","",
"대졸이상","응답자","음성통화 제외","1-2시간 미만","%","","32.3","54.1","33.7","30.2","31.6","32.5","32","31.3","27.1","28.9",
"대졸이상","응답자","음성통화 제외","2-3시간 미만","%","","17.9","13.9","19.3","22.2","17.8","21","22.6","21.3","24.9","21.2",
"대졸이상","응답자","음성통화 제외","3-4시간 미만","%","","","","9","9","9.3","10.3","11.7","12.7","16.3","16.8",
"대졸이상","응답자","음성통화 제외","3시간 이상","%","","18.5","","","","","","","","","",
"대졸이상","응답자","음성통화 제외","4시간이상","%","","","","9.9","11.2","12.4","10.5","10.7","14.3","16.3","22.3",
"대졸이상","응답자","음성통화 제외","평균","분","","103.7","89.7","101.4","107.5","107.6","103.2","111.4","123.4","129.3","146.6",
